D3_Cityrecode,avg_PT_satisfaction,avg_Life_satisfaction,avg_EasyToGet,avg_Frequent,avg_Reliable,pct_primary_car,pct_primary_motorcycle,pct_primary_bicycle,pct_primary_foot,pct_primary_train,pct_primary_urbanPT
Barcelona,2.6132075471698113,3.064814814814815,3.1078199052132702,2.7889800703399765,3.0526315789473686,0.40642939150401836,0.07462686567164178,0.08955223880597014,0.21928817451205512,0.03903559127439724,0.15729047072330654
Madrid,2.6402366863905327,2.9577464788732395,3.1565420560747666,2.746776084407972,2.933333333333333,0.4274099883855981,0.047619047619047616,0.041811846689895474,0.21138211382113822,0.026713124274099883,0.23925667828106853
Málaga,2.782129742962056,3.353286384976526,2.953771289537713,2.800480769230769,3.0156815440289506,0.5163934426229508,0.08899297423887588,0.09484777517564402,0.12295081967213115,0.01990632318501171,0.14168618266978922
Malmö,2.7732997481108312,3.475177304964539,3.3301435406698565,3.1825980392156863,2.683435582822086,0.4193168433451119,0.03651354534746761,0.20023557126030625,0.17314487632508835,0.024734982332155476,0.12014134275618374
Stockholm,3.016867469879518,3.626936829558999,3.498800959232614,3.392512077294686,2.8428053204353083,0.300357568533969,0.02264600715137068,0.17044100119189512,0.265792610250298,0.021454112038140644,0.19547079856972585
Cardiff,2.6633540372670805,3.4905437352245863,2.9843373493975904,2.845686512758202,2.5127272727272727,0.591764705882353,0.027058823529411764,0.08470588235294117,0.1388235294117647,0.02235294117647059,0.10705882352941176
Glasgow,2.575262543757293,3.263157894736842,2.8244803695150114,2.532863849765258,2.415509259259259,0.5068027210884354,0.02947845804988662,0.07936507936507936,0.20748299319727892,0.034013605442176874,0.10884353741496598
Manchester,2.789149198520345,3.110718492343934,3.027710843373494,2.821167883211679,2.5750915750915753,0.5990621336459554,0.017584994138335287,0.06447831184056271,0.15943728018757328,0.011723329425556858,0.10550996483001172
Tyneside conurbation,2.9111675126903553,3.391616766467066,3.0886998784933173,2.8692971639950677,2.7330873308733086,0.594047619047619,0.02738095238095238,0.07380952380952381,0.14404761904761904,0.014285714285714285,0.11547619047619048
Reykjavík,2.150326797385621,3.3995407577497128,2.2090112640801003,1.8165605095541402,2.4017412935323383,0.6762013729977117,0.02745995423340961,0.06064073226544622,0.10983981693363844,0.011441647597254004,0.09954233409610984
Oslo,3.178983833718245,3.647935779816514,3.48564867967853,3.298265895953757,3.034324942791762,0.35876993166287013,0.04100227790432802,0.1378132118451025,0.17995444191343962,0.023917995444191344,0.244874715261959
Genève,3.09688995215311,3.4717416378316033,3.4073647871116224,3.2681242807825086,3.0408878504672896,0.39010356731875717,0.09436133486766399,0.1093210586881473,0.1622554660529344,0.026467203682393557,0.20713463751438435
Zürich,3.677456647398844,3.6993087557603688,3.5276497695852536,3.433252427184466,3.5679723502304146,0.35599078341013823,0.06682027649769585,0.11175115207373272,0.18548387096774194,0.03686635944700461,0.2315668202764977
Beograd,1.6422360248447205,2.4791666666666665,2.364321608040201,2.2397094430992737,2.0693069306930694,0.4797687861271676,0.021965317919075144,0.04971098265895954,0.15953757225433526,0.016184971098265895,0.26011560693641617
